value,step,phi
48,5960,0.970268
48,5980,0.830050
48,6000,0.614643
48,6020,0.942849
48,6040,0.958744
48,6060,0.961950
48,6080,0.962441
48,6100,0.962326
48,6120,0.961887
48,6140,0.961886
48,6160,0.910867
48,6180,0.812643
48,6200,0.877825
48,6220,0.969090
48,6240,0.974662
48,6260,0.977420
48,6280,0.979139
48,6300,0.978953
48,6320,0.904565
48,6340,0.784741
48,6360,0.951568
48,6380,0.976947
48,6400,0.981161
48,6420,0.983981
48,6440,0.982953
48,6460,0.963769
48,6480,0.611826
48,6500,0.936100
48,6520,0.983416
48,6540,0.988900
48,6560,0.990486
48,6580,0.990833
48,6600,0.989423
48,6620,0.989675
48,6640,0.989818
48,6660,0.928731
48,6680,0.878841
48,6700,0.775522
48,6720,0.954086
48,6740,0.966277
48,6760,0.969268
48,6780,0.970574
48,6800,0.972267
48,6820,0.971068
48,6840,0.969820
48,6860,0.967086
48,6880,0.851187
48,6900,0.722239
48,6920,0.909798
48,6940,0.962258
48,6960,0.967309
48,6980,0.967716
48,7000,0.967937
48,7020,0.967318
48,7040,0.850889
48,7060,0.756768
48,7080,0.945860
48,7100,0.957397
48,7120,0.960807
48,7140,0.961115
48,7160,0.960148
48,7180,0.902283
48,7200,0.723726
48,7220,0.874097
48,7240,0.971660
48,7260,0.979188
48,7280,0.981707
48,7300,0.981944
48,7320,0.981182
48,7340,0.979817
48,7360,0.980466
48,7380,0.949975
48,7400,0.846409
48,7420,0.684305
48,7440,0.958487
48,7460,0.979232
48,7480,0.984199
48,7500,0.984834
48,7520,0.984177
48,7540,0.985054
48,7560,0.984979
48,7580,0.985801
48,7600,0.935362
48,7620,0.793447
48,7640,0.968082
48,7660,0.987256
48,7680,0.991414
48,7700,0.961534
48,7720,0.617389
48,7740,0.897098
48,7760,0.961230
48,7780,0.964981
48,7800,0.965172
48,7820,0.966333
48,7840,0.967009
48,7860,0.966176
48,7880,0.965587
48,7900,0.965918
48,7920,0.966169
48,7940,0.941502
48,7960,0.872846
48,7980,0.854429
48,8000,0.948539
48,8020,0.956705
48,8040,0.959212
48,8060,0.961888
48,8080,0.961764
48,8100,0.960583
48,8120,0.684233
48,8140,0.926387
48,8160,0.974469
48,8180,0.979258
48,8200,0.951130
48,8220,0.853897
48,8240,0.688026
48,8260,0.968933
48,8280,0.981555
48,8300,0.983793
48,8320,0.986120
48,8340,0.985081
48,8360,0.984532
48,8380,0.985002
48,8400,0.984926
48,8420,0.984849
48,8440,0.985249
48,8460,0.984927
48,8480,0.984109
48,8500,0.983479
48,8520,0.984827
48,8540,0.983191
48,8560,0.943083
48,8580,0.878454
48,8600,0.954601
48,8620,0.943759
48,8640,0.891222
48,8660,0.902803
48,8680,0.791005
48,8700,0.882176
48,8720,0.969313
48,8740,0.968208
48,8760,0.972536
48,8780,0.972831
48,8800,0.971287
48,8820,0.970376
48,8840,0.970517
48,8860,0.971134
48,8880,0.970347
48,8900,0.971150
48,8920,0.971079
48,8940,0.971808
48,8960,0.971477
48,8980,0.947854
96,0,0.054887
96,20,0.075243
96,40,0.177553
96,60,0.135579
96,80,0.195194
96,100,0.250843
96,120,0.248370
96,140,0.269055
96,160,0.417097
96,180,0.495108
96,200,0.507419
96,220,0.431089
96,240,0.353157
96,260,0.391684
96,280,0.340201
96,300,0.323835
96,320,0.300525
96,340,0.268560
96,360,0.153400
96,380,0.343794
96,400,0.364113
96,420,0.397051
96,440,0.360273
96,460,0.408815
96,480,0.463258
96,500,0.433203
96,520,0.431120
96,540,0.409730
96,560,0.396386
96,580,0.327540
96,600,0.308821
96,620,0.306492
96,640,0.530987
96,660,0.555083
96,680,0.552630
96,700,0.560857
96,720,0.553884
96,740,0.541651
96,760,0.463977
96,780,0.365939
96,800,0.267810
96,820,0.305914
96,840,0.245891
96,860,0.612837
96,880,0.598240
96,900,0.591252
96,920,0.590944
96,940,0.592738
96,960,0.598337
96,980,0.550984
96,1000,0.405562
96,1020,0.325352
96,1040,0.322315
96,1060,0.374723
96,1080,0.422436
96,1100,0.599984
96,1120,0.580571
96,1140,0.608033
96,1160,0.733413
96,1180,0.907712
96,1200,0.399585
96,1220,0.663269
96,1240,0.695134
96,1260,0.701784
96,1280,0.701641
96,1300,0.702894
96,1320,0.701297
96,1340,0.697760
96,1360,0.690891
96,1380,0.690668
96,1400,0.690995
96,1420,0.647221
96,1440,0.652125
96,1460,0.734537
96,1480,0.882536
96,1500,0.894122
96,1520,0.895822
96,1540,0.809162
96,1560,0.425191
96,1580,0.778676
96,1600,0.712461
96,1620,0.716592
96,1640,0.722265
96,1660,0.717981
96,1680,0.729203
96,1700,0.726564
96,1720,0.718723
96,1740,0.714752
96,1760,0.709187
96,1780,0.704140
96,1800,0.702198
96,1820,0.722160
96,1840,0.871563
96,1860,0.811168
96,1880,0.779699
96,1900,0.720954
96,1920,0.533327
96,1940,0.664190
96,1960,0.764681
96,1980,0.739354
96,2000,0.773020
96,2020,0.787981
96,2040,0.737253
96,2060,0.781810
96,2080,0.827350
96,2100,0.821367
96,2120,0.827584
96,2140,0.820087
96,2160,0.813777
96,2180,0.832931
96,2200,0.785473
96,2220,0.768072
96,2240,0.765227
96,2260,0.764776
96,2280,0.760584
96,2300,0.733833
96,2320,0.676629
96,2340,0.508004
96,2360,0.914381
96,2380,0.936470
96,2400,0.938751
96,2420,0.941788
96,2440,0.946852
96,2460,0.944181
96,2480,0.938296
96,2500,0.889865
96,2520,0.876616
96,2540,0.871150
96,2560,0.766922
96,2580,0.678645
96,2600,0.569242
96,2620,0.561597
96,2640,0.810362
96,2660,0.839109
96,2680,0.841101
96,2700,0.835704
96,2720,0.836195
96,2740,0.833693
96,2760,0.561581
96,2780,0.895073
96,2800,0.947559
96,2820,0.945044
96,2840,0.957963
96,2860,0.970895
96,2880,0.955398
96,2900,0.970867
96,2920,0.955900
96,2940,0.923552
96,2960,0.936978
96,2980,0.938096
