value,step,phi
3.0,1600,0.097575
3.0,1620,0.144061
3.0,1640,0.137268
3.0,1660,0.260155
3.0,1680,0.281169
3.0,1700,0.274866
3.0,1720,0.409847
3.0,1740,0.481606
3.0,1760,0.494972
3.0,1780,0.440029
3.0,1800,0.448359
3.0,1820,0.479319
3.0,1840,0.494150
3.0,1860,0.484110
3.0,1880,0.469330
3.0,1900,0.457471
3.0,1920,0.393381
3.0,1940,0.143524
3.0,1960,0.144498
3.0,1980,0.140707
3.0,2000,0.357255
3.0,2020,0.350528
3.0,2040,0.339793
3.0,2060,0.340606
3.0,2080,0.342748
3.0,2100,0.311831
3.0,2120,0.404788
3.0,2140,0.538952
3.0,2160,0.551024
3.0,2180,0.552210
3.0,2200,0.488314
3.0,2220,0.446166
3.0,2240,0.423838
3.0,2260,0.415038
3.0,2280,0.322061
3.0,2300,0.206938
3.0,2320,0.202478
3.0,2340,0.167613
3.0,2360,0.159686
3.0,2380,0.221747
3.0,2400,0.277373
3.0,2420,0.447079
3.0,2440,0.503901
3.0,2460,0.332752
3.0,2480,0.257951
3.0,2500,0.257432
3.0,2520,0.271034
3.0,2540,0.318996
3.0,2560,0.401814
3.0,2580,0.307361
3.0,2600,0.157366
3.0,2620,0.165461
3.0,2640,0.194418
3.0,2660,0.192550
3.0,2680,0.185563
3.0,2700,0.267116
3.0,2720,0.463890
3.0,2740,0.554252
3.0,2760,0.597616
3.0,2780,0.587271
3.0,2800,0.578759
3.0,2820,0.579574
3.0,2840,0.485837
3.0,2860,0.343799
3.0,2880,0.248264
3.0,2900,0.252742
3.0,2920,0.241409
3.0,2940,0.249290
3.0,2960,0.345019
3.0,2980,0.408768
3.0,3000,0.429445
3.0,3020,0.349928
3.0,3040,0.432024
3.0,3060,0.521184
3.0,3080,0.553562
3.0,3100,0.595461
3.0,3120,0.626912
3.0,3140,0.612034
3.0,3160,0.521522
3.0,3180,0.499637
3.0,3200,0.216236
3.0,3220,0.372611
3.0,3240,0.358595
3.0,3260,0.387017
3.0,3280,0.394451
3.0,3300,0.380102
3.0,3320,0.388845
3.0,3340,0.405269
3.0,3360,0.287127
3.0,3380,0.261393
3.0,3400,0.360723
3.0,3420,0.795430
3.0,3440,0.791734
3.0,3460,0.786530
3.0,3480,0.784128
3.0,3500,0.732400
3.0,3520,0.494340
3.0,3540,0.388976
3.0,3560,0.382806
3.0,3580,0.238239
3.0,3600,0.269389
3.0,3620,0.291533
3.0,3640,0.318932
3.0,3660,0.306473
3.0,3680,0.214330
3.0,3700,0.736101
3.0,3720,0.740039
3.0,3740,0.736839
3.0,3760,0.727194
3.0,3780,0.682041
3.0,3800,0.464343
3.0,3820,0.459328
3.0,3840,0.466157
3.0,3860,0.447987
3.0,3880,0.432823
3.0,3900,0.484880
3.0,3920,0.593438
3.0,3940,0.595018
3.0,3960,0.567883
3.0,3980,0.535735
3.0,4000,0.474452
3.0,4020,0.457142
3.0,4040,0.451229
3.0,4060,0.485975
3.0,4080,0.331932
3.0,4100,0.335252
3.0,4120,0.327414
3.0,4140,0.312068
3.0,4160,0.332110
3.0,4180,0.358965
3.0,4200,0.404409
3.0,4220,0.413706
3.0,4240,0.361803
3.0,4260,0.545784
3.0,4280,0.566714
3.0,4300,0.682394
3.0,4320,0.676675
3.0,4340,0.669207
3.0,4360,0.693217
3.0,4380,0.699896
3.0,4400,0.604949
3.0,4420,0.611823
3.0,4440,0.639207
3.0,4460,0.655212
3.0,4480,0.652698
3.0,4500,0.657757
3.0,4520,0.625443
3.0,4540,0.609967
